Topology,Random_Congestion,FIFO_Congestion,TopoAware_Congestion,CommAware_Congestion,Random_SLA,FIFO_SLA,TopoAware_SLA,CommAware_SLA
Clos,82.83111579116176,54.239524821042416,61.63323688941266,28.790136876060224,84.61538461538461,95.83333333333334,93.75,100.0
Dragonfly,91.05148006510198,80.81358753355758,66.17688862407825,39.6914668130549,67.85714285714286,82.35294117647058,100.0,100.0
FatTree,91.62013537620848,61.58805792158256,59.7630273217568,36.16007756915884,78.94736842105263,87.5,78.57142857142857,100.0
HyperX,67.04936527035633,57.23643561221136,40.7380048455966,30.15618915971929,89.65517241379311,95.23809523809523,100.0,100.0
Mesh4D,93.51317738636688,72.146685671855,69.62801692862686,37.18919716486092,79.16666666666666,86.95652173913044,73.68421052631578,100.0
Ring,111.28776346825371,80.83359202869636,79.91244173634105,47.04047200104986,37.5,91.30434782608695,84.21052631578947,100.0
